account,ticker,name,shares,value_gbp_snapshot
Stocks ISA,BE,Bloom Energy,5.885405,1000.00
Stocks ISA,MU,Micron Technology,1.392761,1000.00
Invest,NFLX,Netflix,17.314354,1000.00
Invest,SNDK,Sandisk,0.824619,1000.00
Invest,AMAT,Applied Materials,2.668264,1000.00
Invest,NBIS,Nebius Group,4.87356,1000.00
Invest,LULU,Lululemon Athletica,11.319866,1000.00
Invest,MSFT,Microsoft,2.731712,1000.00
Invest,BA,Boeing,5.841456,1000.00
Invest,LLY,Eli Lilly,1.1467,1000.00
Invest,GOOGL,Alphabet Class A,3.912374,1000.00
Invest,TSLA,Tesla,3.953867,1000.00
Invest,LRCX,Lam Research,4.07176,1000.00
Invest,NU,Nu Holdings,88.856864,1000.00
Invest,TSM,Taiwan Semiconductor,3.174129,1000.00
Invest,HIVE,Hive Digital Technologies,503.081774,1000.00
Invest,BWXT,BWX Technologies,7.81255,1000.00
Invest,MA,Mastercard,2.377154,1000.00
